id type x y
1 house 0.849513080669567 0.304251517867669
2 house 0.00842146878130734 0.657222841167822
3 house 0.369299583602697 0.349579052301124
4 house 0.460470566991717 0.277130988193676
5 house 0.0256796989124268 0.712766533251852
6 house 0.431369476253167 0.20579392160289
7 house 0.355606281897053 0.540817143395543
8 house 0.996641094330698 0.151982805691659
9 house 0.327530618291348 0.324621923966333
10 house 0.347554420819506 0.768297192640603
11 house 0.442155729979277 0.901857238961384
12 house 0.476972539443523 0.948818207951263
13 house 0.159042506013066 0.101165571715683
14 house 0.146745916921645 0.0861060386523604
15 house 0.421847040066496 0.483400661498308
16 house 0.239841075846925 0.424806155730039
17 house 0.0613689171150327 0.403528694529086
18 house 0.67336421716027 0.519027323229238
19 house 0.358209725935012 0.193836768856272
20 house 0.305428131017834 0.824719262076542
21 house 0.853776968782768 0.773115312447771
22 house 0.379697370808572 0.663784238975495
23 house 0.00541766174137592 0.614098687190562
24 house 0.717438037972897 0.855357740307227
25 house 1.36488904897124 0.100929240230471
26 house 1.68937244685367 0.234002438373864
27 house 1.47599251870997 0.327527896035463
28 house 1.18843374541029 0.933293543756008
29 house 1.01046081935056 0.813510646577924
30 house 1.13640483259223 0.167419662699103
31 house 1.04039243352599 0.399370501982048
32 house 1.63284067227505 0.901966686127707
33 house 1.91046083671972 0.144745379453525
34 house 1.5217123280745 0.219659554772079
35 house 1.90217031817883 0.818434773944318
36 house 1.50519160251133 0.515984608558938
37 house 1.98296546563506 0.858359917765483
38 house 1.36181804188527 0.664205457782373
39 house 1.36049836780876 0.842810422182083
40 house 1.71229995763861 0.112153217196465
41 house 1.3419072215911 0.330334570957348
42 house 1.34260613867082 0.936970267444849
43 house 1.79351433552802 0.869371967157349
44 house 1.88980314554647 0.245229416061193
45 house 1.18566186050884 0.166270548244938
46 house 1.41135109891184 0.0150660858489573
47 house 2.09881724533625 0.64380792924203
48 house 2.62471431982704 0.344009859720245
49 house 2.68320273351856 0.204464517300949
50 house 2.61692240298726 0.86399935465306
51 house 2.07681357488036 0.841982598183677
52 house 2.31469400413334 0.905467212432995
53 house 2.26668057171628 0.405354246031493
54 house 2.94757412769832 0.215374089777470
55 house 2.23615292995237 0.0117250934708863
56 house 2.61308873514645 0.394026868976653
57 house 2.57265386194922 0.748350375331938
58 house 2.65313607663848 0.486498467391357
59 house 2.06107509555295 0.415299781598151
60 house 2.98115700134076 0.444885306293145
61 house 2.64267345750704 0.0645301940385252
62 house 2.19152923091315 0.399267330300063
